Global horizontal irradiation (GHI);Beam horizontal irradiation (BHI);Diffuse horizontal irradiation (DHI);Ambient temperature;Stromverbrauch VDI4655 EFH;Heizwärme VDI4655 EFH;Trinkwarmwasser VDI4655 EFH;Office 8-18;1 shift factory;2 shift factory
Wh/m²;Wh/m²;Wh/m²;°C;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a
0,0000000000;0,0000000000;0,0000000000;8,2200000000;0,000153186;0,000248551;0,000898219;0,000106089;8,01611E-05;6,43757E-05
0,0000000000;0,0000000000;0,0000000000;8,5200000000;7,57893E-05;0,000124276;0;0,00012911;6,2782E-05;5,04189E-05
11,1000000000;0,0000000000;11,4200000000;9,0200000000;6,34256E-05;9,94204E-05;0,000143715;0,00014454;7,59032E-05;6,09563E-05
37,2500000000;4,7000000000;32,5500000000;9,5100000000;6,99056E-05;8,69929E-05;3,59288E-05;0,00015181;0,000176919;0,00014208
70,0500000000;8,7800000000;61,2700000000;10,2200000000;0,000196109;9,32067E-05;7,18575E-05;0,000196711;0,00021398;0,000171843
88,4300000000;13,1500000000;75,2800000000;11,0500000000;0,000210909;9,32067E-05;0,000179644;0,000202342;0,000270462;0,000217203
90,5300000000;12,1600000000;78,3600000000;11,7100000000;9,37776E-05;8,69929E-05;0,000107786;0,000196462;0,000283496;0,00022767
81,8200000000;11,2700000000;70,5500000000;12,2000000000;0,00015106;0,000118062;0,000538931;0,000195607;0,000201033;0,000161445
58,3000000000;9,4200000000;48,8800000000;12,6200000000;0,000113995;0,000118062;0,000107786;0,000189441;0,000214067;0,000171913
84,8000000000;38,1400000000;46,6600000000;12,8300000000;6,26221E-05;7,45653E-05;7,18575E-05;0,000174546;0,000270679;0,000217377
40,9500000000;14,3200000000;26,6300000000;12,6100000000;8,90603E-05;8,69929E-05;3,59288E-05;0,000180176;0,000283583;0,00022774
5,9700000000;0,0000000000;7,8600000000;11,9800000000;4,81848E-05;8,69929E-05;0;0,00014201;8,69824E-05;0,000161445
0,0000000000;0,0000000000;0,0000000000;11,5300000000;6,54474E-05;7,45653E-05;0;0,000129359;8,03783E-05;0,000156142
0,0000000000;0,0000000000;0,0000000000;11,0400000000;0,000106064;0,000118062;3,59288E-05;0,000101599;6,7344E-05;0,000145674
0,0000000000;0,0000000000;0,0000000000;10,5600000000;0,000154456;9,32067E-05;3,59288E-05;8,13928E-05;8,0248E-05;0,000156037
0,0000000000;0,0000000000;0,0000000000;10,6000000000;0,000203159;0,000111848;0;5,8657E-05;6,71267E-05;0,0001455
0,0000000000;0,0000000000;0,0000000000;10,7300000000;0,000210028;8,07791E-05;0;5,50221E-05;7,83363E-05;0,000154502
0,0000000000;0,0000000000;0,0000000000;10,8400000000;0,000330555;0,000149131;0,00028743;5,41669E-05;6,53019E-05;0,000144034
0,0000000000;0,0000000000;0,0000000000;10,9700000000;4,95586E-05;6,2138E-06;0;5,41669E-05;7,83363E-05;0,000154502
0,0000000000;0,0000000000;0,0000000000;11,1200000000;7,28468E-05;0,000103887;0;5,41669E-05;6,52585E-05;5,24078E-05
0,0000000000;0,0000000000;0,0000000000;10,7400000000;6,34472E-05;0,000113781;0;5,4452E-05;7,81625E-05;6,27707E-05
0,0000000000;0,0000000000;0,0000000000;9,0700000000;7,35518E-05;0,000103887;0;5,41669E-05;6,50413E-05;5,22333E-05
0,0000000000;0,0000000000;0,0000000000;7,0000000000;6,41522E-05;0,000108834;0;5,69821E-05;7,80756E-05;6,27009E-05
0,0000000000;0,0000000000;0,0000000000;5,5000000000;7,19069E-05;0,00009894;0;7,94329E-05;6,51282E-05;5,23031E-05
0,0000000000;0,0000000000;0,0000000000;4,8600000000;6,72071E-05;0,000103887;0;0,000104663;7,79887E-05;6,26311E-05
0,0000000000;0,0000000000;0,0000000000;4,3900000000;0,000119845;0,000118728;0;0,000127399;6,06096E-05;4,86743E-05
17,0500000000;0,0000000000;20,3800000000;3,9600000000;0,000199036;0,000118728;0,00144064;0,00014005;7,39915E-05;5,9421E-05
109,1500000000;36,1700000000;72,9800000000;5,0500000000;0,000188932;0,00014841;0;0,000155765;0,00017705;0,000142185
211,0500000000;91,5400000000;119,5100000000;6,3300000000;0,000258019;0,000133569;0,000480214;0,000207937;0,000214197;0,000172017
285,0000000000;126,8700000000;158,1300000000;8,6600000000;0,000145929;0,000153357;0;0,000197567;0,000272939;0,000219191
